Undercurrent ; Wave Frame ; Grenade Launcher ; Arc ; Legendary
Uzume RR4 ; Adaptive Frame ; Sniper Rifle ; Solar ; Legendary
Pre Astyanax IV ; Precision Frame ; Bow ; Solar ; Legendary
Braytech Osprey ; High-Impact Frame ; Rocket Launcher ; Void ; Legendary
Warden's Law ; Heavy Burst ; Hand Cannon ; Kinetic ; Legendary
Loaded Question ; High-Impact Frame ; Fusion Rifle ; Arc ; Legendary
The Swarm ; High-Impact Frame ; Machine Gun ; Arc ; Legendary
Buzzard ; Adaptive Frame ; Sidearm ; Kinetic ; Legendary
Wendigo GL3 ; Adaptive Frame ; Grenade Launcher ; Arc ; Legendary
The Slammer ; Vortex Frame ; Sword ; Stasis ; Legendary
Hung Jury SR4 ; Precision Frame ; Scout Rifle ; Kinetic ; Legendary
Mindbender's Ambition ; Aggressive Frame ; Shotgun ; Solar ; Legendary
The Militia's Birthright ; Lightweight Frame ; Grenade Launcher ; Kinetic ; Legendary
Horror's Least ; Rapid-Fire Frame ; Pulse Rifle ; Arc ; Legendary
The Hothead ; Adaptive Frame ; Rocket Launcher ; Arc ; Legendary
D.F.A. ; Adaptive Frame ; Hand Cannon ; Kinetic ; Legendary
Plug One.1 ; Precision Frame ; Fusion Rifle ; Arc ; Legendary
