Shayura's Wrath ; Aggressive Frame ; SMG ; Void ; Legendary
The Inmortal ; Aggressive Frame ; SMG ; Strand ; Legendary
Reed's Regret ; Aggressive Frame ; Linear Fusion Rifle ; Stasis ; Legendary
Incisor ; Adaptive Frame ; Trace Rifle ; Strand ; Legendary
Igneous Hammer ; Aggressive Frame ; Hand Cannon ; Solar ; Legendary
Unexpected Resurgence ; Adaptive Frame ; Glaive ; Arc ; Legendary
Eye of Sol ; Adaptive Frame ; Sniper Rifle ; Kinetic ; Legendary
The Messenger ; High-Impact Frame ; Pulse Rifle ; Kinetic ; Legendary
The Summoner ; Adaptive Frame ; Auto Rifle ; Solar ; Legendary
Cataphract GL3 ; Adaptive Frame ; Grenade Launcher ; Strand ; Legendary
Whistler's Whim ; Lightweight Frame ; Bow ; Kinetic ; Legendary
Astral Horizon ; Aggressive Frame ; Shotgun ; Kinetic ; Legendary
Unwavering Duty ; Adaptive Frame ; Machine Gun ; Solar ; Legendary
Forgiveness ; Aggressive Burst ; Sidearm ; Arc ; Legendary
The Inquisitor ; Pinpoint Slug Frame ; Shotgun ; Arc ; Legendary
Burden of Guilt ; Adaptive Frame ; Fusion Rifle ; Stasis ; Legendary
Aisha's Embrace ; Rapid-Fire Frame ; Scout Rifle ; Void ; Legendary
